code_commune,loyer_m2,nb_obs,type_pred,lat,lon,fiable,loyer_m2_final
05066,9.75769624568385,0,maille,44.57248189790864,5.629276971870562,False,9.74
26030,9.75769624568385,0,maille,44.51304499126068,5.631141268495818,False,9.69
26245,9.75769624568385,0,maille,44.437117083749406,5.4666585373967544,False,9.67
26327,9.75769624568385,6,maille,44.690939223910995,5.4258091267085895,False,9.81
38103,9.75769624568385,11,maille,44.80807399739665,5.546024470154734,True,9.75769624568385
26040,9.75769624568385,5,maille,44.559433131761466,5.549616428068607,False,9.77
05080,9.75769624568385,3,maille,44.58656869496342,5.6725342436073705,False,9.74
26025,9.75769624568385,1,maille,44.66255139539233,5.382490332356708,False,9.83
26001,9.75769624568385,4,maille,44.70935540694859,5.3899374684025725,False,9.83
26113,11.75397160684,356,commune,44.74802894534934,5.383364118156572,True,11.75397160684
26075,9.75769624568385,0,maille,44.46800778076934,5.445389394414979,False,9.71
26255,9.75769624568385,0,maille,44.533163392582594,5.579003908333272,False,9.73
26086,9.75769624568385,36,maille,44.70066880905187,5.486572980204325,True,9.75769624568385
26361,9.75769624568385,0,maille,44.50047287294006,5.564796938942205,False,9.71
26167,9.75769624568385,9,maille,44.611568600125516,5.455793861117252,False,9.8
26136,9.75769624568385,6,maille,44.58985728969998,5.5967835556761045,False,9.75
26123,9.75769624568385,0,maille,44.500151527458264,5.442406204574382,False,9.76
26104,9.75769624568385,0,maille,44.43800296038884,5.406440672556216,False,9.66
26055,9.75769624568385,12,maille,44.6376062474713,5.579671596801856,True,9.75769624568385
26300,9.75769624568385,1,maille,44.51479578908512,5.487017703197093,False,9.77
26215,9.75769624568385,13,maille,44.493544278254326,5.3863915263377775,True,9.75769624568385
26204,9.75769624568385,1,maille,44.62775025569334,5.417877637540705,False,9.81
26283,9.75769624568385,0,maille,44.47483054556512,5.411129213677587,False,9.72
26164,9.75769624568385,0,maille,44.58849877276492,5.515343385206713,False,9.78
26019,9.75769624568385,20,maille,44.692729488892816,5.301254308039455,True,9.75769624568385
24281,11.3391063426424,0,maille,44.773571804277104,0.6928929190544655,False,11.23
24176,11.3391063426424,0,maille,44.70445852701762,0.6886276141170825,False,10.86
24145,11.3391063426424,45,maille,44.86048129008372,0.5563926793267167,True,11.3391063426424
24177,11.3391063426424,1,maille,44.7861644973335,0.6462087362552007,False,11.19
24228,11.3391063426424,6,maille,44.818922990682225,0.6653764033409266,False,11.24
24327,11.3391063426424,0,maille,44.907102083258025,0.799255693434488,False,11.19
24374,11.3391063426424,0,maille,44.79866492042962,0.5974396795941317,False,11.2
24190,11.3391063426424,3,maille,44.972851269866496,0.6724195035611035,False,10.98
24132,11.3391063426424,1,maille,44.78095464162091,0.5569157620257482,False,11.07
24419,11.3391063426424,1,maille,44.82499994564227,0.5937645771954921,False,11.24
24273,11.3391063426424,3,maille,44.8156939223803,0.8241999712915504,False,11.23
24379,11.3391063426424,0,maille,44.78046730672975,0.8191873119347586,False,11.19
24223,10.9636046801346,218,commune,44.858020148618394,0.7437966536653196,True,10.9636046801346
24334,11.3391063426424,0,maille,44.825991628808815,0.771473615809152,False,11.28
